Designator,Mid X,Mid Y,Rotation,Layer
C10,92.84,-51.71,180.0,top
C11,115.5,-38.0,180.0,top
C12,111.3,-23.76,270.0,top
C13,93.31,-26.37,90.0,top
C3,93.4,-19.9,90.0,top
C4,93.4,-23.2,270.0,top
C5,92.84,-49.67,180.0,top
C6,91.1,-55.75,90.0,top
C7,101.91,-46.85,90.0,top
C8,104.96,-51.96,0.0,top
C9,111.1,-19.1,90.0,top
D1,97.13,-59.57,270.0,top
D4,92.0,-59.0,0.0,top
D7,98.55,-34.87,180.0,top
J1,104.79,-60.785,0.0,top
R1,101.71,-43.56,0.0,top
R2,102.59,-41.44,180.0,top
R3,98.32,-36.1,180.0,top
R4,111.15,-21.1,270.0,top
R6,104.03,-44.68,90.0,top
R7,104.26,-54.28,90.0,top
R8,110.88,-58.11,270.0,top
SW1,114.945,-21.87,90.0,top
SW2,89.67,-28.7,270.0,top
SW3,91.09,-58.3,270.0,bottom
SW4,113.75,-58.31,90.0,bottom
U1,102.55,-25.65,0.0,top
U2,100.25,-39.615,180.0,bottom
U3,98.98,-52.26,180.0,top
